language,matrix_size,runs,avg_time_s,std_time_s,avg_mem_mb,std_mem_mb
C,64,5,0.0003254,7.30807772262994e-05,0.0,0.0
C,128,5,0.0031669999999999997,0.000329501896807894,0.0,0.0
C,256,5,0.0189908,0.003366032115117147,0.0,0.0
C,512,5,0.1150876,0.02041472847725388,0.0,0.0
C,1024,5,1.1598792,0.022769383768560757,0.8,1.788854381999832
Java,64,5,0.00072274,0.0006614790873489501,0.0,0.0
Java,128,5,0.00235344,0.0016418529998145387,0.096197509765625,0.21510417110213736
Java,256,5,0.01242772,0.003182327159799886,0.4964019775390625,0.31589654764369796
Java,512,5,0.14121998,0.007584404696283026,2.0022491455078124,0.0033123234044428558
Java,1024,5,1.8401285399999998,0.1912745459618004,6.433695983886719,3.6158282774163153
Python,64,5,0.011078399999999999,0.001682956565096081,0.06999999999999999,0.09591663046625439
Python,128,5,0.0635356,0.0047396480143571795,0.29000000000000004,0.3459768778401239
Python,256,5,0.5388466,0.0280669272062333,1.0139999999999998,1.3613155402036663
Python,512,5,8.5357032,1.0712022736202529,2.846,4.2269468887129396
Python,1024,5,118.6122924,34.12240928310788,9.304,17.92957138361093
